Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Wairarapa - Needles 2,125,174.68502,-41.570534,11,0,2,1.356,0,10.871,0.031,1.688,1.216,0.202
Wairarapa 1,126,174.993255,-41.370879,11,0,2,1.356,0,10.816,0.231,1.573,1.342,-0.239
BooBoo,127,174.518884,-41.710524,10,0,2,0.992,0,9.858,0.213,2.072,0.809,0.262
Northern Ohariu,128,175.416205,-40.631313,1.5,0,1,0.128,0,1.33,-0.011,1.03,0.124,-0.068
Ohariu Central,129,174.978967,-40.974447,1.449,-0.1,0.549,0.238,-0.13,1.425,-0.103,0.482,0.22,-0.127
Ohariu South 3,130,174.695743,-41.288039,1.41,-0.133,0.556,0.266,-0.153,1.376,-0.142,0.562,0.227,-0.216
Ohariu South 2,131,174.575808,-41.402648,1.348,0.225,0.557,0.316,0.205,1.323,0.234,0.527,0.334,0.302
Ohariu South 1,132,174.476577,-41.440251,0.965,0.486,0.517,0.497,0.054,0.87,0.493,0.534,0.502,-0.044
Wellington Hutt Valley 4,133,174.903406,-41.201167,6.762,0.469,1.755,1.104,0.067,6.393,0.364,1.562,1.097,-0.11
Wellington Hutt Valley 3,134,174.714334,-41.330485,7,0,1.5,0.594,0,6.753,-0.024,1.452,0.641,-0.18
Wellington Hutt Valley 2,135,174.653787,-41.401253,6.344,-0.514,1.853,1.285,-0.061,5.985,-0.511,1.474,1.299,-0.028
Wellington Hutt Valley 1,136,174.583449,-41.445491,4.95,1.693,1.883,2.072,-0.074,3.938,1.487,1.522,1.602,-0.313
Mana - Otaheke 3,137,174.949642,-40.865008,0.104,-0.25,0.31,0.17,0.642,0.111,-0.277,0.365,0.208,0.606
Mana - Otaheke 2,138,174.773873,-41.085132,0.052,-0.077,0.209,0.147,0.906,0.073,-0.055,0.209,0.16,0.908
Mana - Otaheke 1,139,174.655785,-41.249976,0.035,-0.051,0.14,0.101,0.84,0.03,-0.055,0.095,0.054,0.727
BooBoo,140,175.015221,-41.675088,10,0,2,0.992,0,10.053,0.099,2.299,0.8,-0.156
